Odonimo,Ambiente,
Via Delle Croci,CO2 catturata (kg/anno),1368.01
Via Delle Croci,O2 prodotto (kg/anno),992.55
Via Pignatelli Aragona,CO2 catturata (kg/anno),1315.12
Via Pignatelli Aragona,O2 prodotto (kg/anno),954.17
Via Rizzo Ammiraglio,CO2 catturata (kg/anno),3420.78
Via Rizzo Ammiraglio,O2 prodotto (kg/anno),2483.91
Via Scoto Michele,CO2 catturata (kg/anno),767.3
Via Scoto Michele,O2 prodotto (kg/anno),556.68
Viale Dei Picciotti - A,CO2 catturata (kg/anno),824.44
Viale Dei Picciotti - A,O2 prodotto (kg/anno),598.19
Viale Dei Picciotti - B,CO2 catturata (kg/anno),893.82
Viale Dei Picciotti - B,O2 prodotto (kg/anno),648.47
Viale Emilia,CO2 catturata (kg/anno),1688.73
Viale Emilia,O2 prodotto (kg/anno),1225.4
Viale Michelangelo,CO2 catturata (kg/anno),25050.08
Viale Michelangelo,O2 prodotto (kg/anno),66192.97
