Odonimo,Cod. lavorazione/elenco prezzi,count,costo,larg
Via Corazza Filippo,,19,€0.00,0.2
Via Corazza Filippo,SIC24_1.6.2,11,"€2,509.65",0.2
Via Delle Croci,APL.026S,48,"€27,609.60",0.2
Via Delle Croci,APL.018S,4,"€1,267.60",0.2
Via Giusti Giuseppe,,128,€0.00,0.8
Via Giusti Giuseppe,APL.017S,7,"€1,798.02",0.8
Via Giusti Giuseppe,SIC24_1.6.2,3,€684.45,0.8
Via Pignatelli Aragona,APL.026S,43,"€24,733.60",0.8
Via Pignatelli Aragona,APL.018S,5,"€1,584.50",0.8
Via Principe Di Belmonte,APL.001S,51,"€9,377.37",0.8
Via Principe Di Belmonte,APL.005S,33,"€6,140.31",0.8
Via Principe Di Belmonte,APL.017S,12,"€3,082.32",0.8
Via Principe Di Belmonte,NP00.15120509,2,"€1,365.50",
Via Principe Di Belmonte,APL.016S,1,€165.88,
Via Rapisardi Mario,,35,€0.00,
Via Rapisardi Mario,SIC24_1.6.2,19,"€4,334.85",
Via Rapisardi Mario,APL.017S,6,"€1,541.16",
Via Rizzo Ammiraglio - A,APL.026S,54,"€31,060.80",
Via Rizzo Ammiraglio - A,APL.018S,2,€633.80,
Via Rizzo Ammiraglio - B,APL.026S,57,"€32,786.40",
Via Rizzo Ammiraglio - B,APL.018S,2,€633.80,
Via Rizzo Ammiraglio - B,APL.017S,1,€256.86,
Via Scoto Michele,APL.026S,27,"€15,530.40",
Via Scoto Michele,APL.018S,1,€316.90,
Viale Dei Picciotti - A,APL.026S,31,"€17,831.20",
Viale Dei Picciotti - B,APL.026S,34,"€19,556.80",
Viale Emilia,APL.026S,51,"€29,335.20",
Viale Emilia,SIC24_1.6.2,4,€912.60,
Viale Emilia,APL.005S,3,€558.21,
Viale Emilia,APL.002S,3,"€1,074.48",
Viale Emilia,caduto,1,€0.00,
Viale Emilia,APL.024S,1,€521.24,
Viale Emilia,APL.018S,1,€316.90,
Viale Emilia,APL.006S,1,€250.87,
Viale Galatea,APL.006S,19,"€4,766.53",
Viale Galatea,APL.007S,11,"€4,966.50",
Viale Galatea,SIC24_1.6.2,9,"€2,053.35",
Viale Galatea,,4,€0.00,
Viale Galatea,APL.005S,3,€558.21,
Viale Galatea,APL.018S,2,€633.80,
Viale Margherita di Savoia - A,APL.005S,69,"€12,838.83",
Viale Margherita di Savoia - A,APL.018S,6,"€1,901.40",
Viale Margherita di Savoia - B,APL.002S,87,"€31,159.92",
Viale Margherita di Savoia - B,APL.003S,28,"€19,984.72",
Viale Margherita di Savoia - B,APL.018S,6,"€1,901.40",
Viale Margherita di Savoia - B,APL.019S,1,€602.28,
Viale Margherita di Savoia - B,,1,€0.00,
Viale Margherita di Savoia - C,APL.002S,53,"€18,982.48",
Viale Margherita di Savoia - C,APL.018S,9,"€2,852.10",
Viale Margherita di Savoia - C,APL.019S,1,€602.28,
Viale Margherita di Savoia - C,APL.003S,1,€713.74,
Viale Michelangelo,APL.005S,101,"€18,793.07",
Viale Michelangelo,APL.006S,58,"€14,550.46",
Viale Michelangelo,APL.017S,16,"€4,109.76",
Viale Michelangelo,SIC24_1.6.2,5,"€1,140.75",
Viale Michelangelo,NP00.TABECONVER,4,"€2,416.00",
Viale Michelangelo,APL.016S,2,€331.76,
Viale Michelangelo,,2,€0.00,
Viale Michelangelo,APL.018S,1,€316.90,
Viale Principe Umberto,APL.014S,26,"€9,706.06",
Viale Principe Umberto,APL.015S,14,"€6,901.72",
Viale Principe Umberto,SIC24_1.6.2,12,"€2,737.80",
Viale Principe Umberto,APL.018S,4,"€1,267.60",
Viale Principe Umberto,APL.005S,4,€744.28,
Viale Principe Umberto,APL.017S,2,€513.72,
Viale Principe Umberto,AP21.080369,1,€443.06,
Viale Principe Umberto,,1,€0.00,
